Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Fuel consumption,Greenhouse gases,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Wheels,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Starter,Carrying capacity,Seat,Engine details,Torque,Bore x stroke,Valves per cylinder,Dry weight,Power/weight ratio,Electrical,Comments,Color options,Exhaust system,"Weight incl. oil, gas, etc",Seat height,Instruments,Light,Rake (fork angle),Ground clearance,Oil capacity,0-100 km/h (0-62 mph),Max RPM,Reserve fuel capacity,Driveline,Alternate seat height
BMW R69S,1967,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",594.0 ccm (36.25 cubic inches),"Two cylinder boxer, four-stroke",42.0 HP (30.7  kW)) @ 7000 RPM,175.0 km/h (108.7 mph),9.5:1,Carburettor. Bing,Overhead Valves (OHV),Magneto,Forced feed,Air,4-speed,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,5.30 litres/100 km (18.9 km/l or 44.38 mpg),123.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Steel-doble cradle,Cartridge,Twin shock-swingarm,3.50-18 ,3.50-18 ,Expanding brake (drum brake),200 mm (7.9 inches),Expanding brake (drum brake),Spoked,980 mm (38.6 inches),2125 mm (83.7 inches),722 mm (28.4 inches),1415 mm (55.7 inches),17.00 litres (4.49 US gallons),Kick,360,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Drag Bike,1967,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1474.0 ccm (89.94 cubic inches),"V2, four-stroke",,,,Carburettor,Overhead Valves (OHV),Magneto,,,,Chain   (final drive),Single speed,,,,,,,,Expanding brake (drum brake),,,,,,,,,,,Single seat,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLH Electra Glide,1967,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1212.7 ccm (74.00 cubic inches),"V2, four-stroke",60.0 HP (43.8  kW)) @ 5200 RPM,160.0 km/h (99.4 mph),8.0:1,Carburettor. Tillotson pumber carb,Overhead Valves (OHV),,,Air,4-speed,Chain   (final drive),,,,Tubular cradle,Hydraulic telescopic forks ,Swingarm. Dual coil-over-shocks. 3-step adjustable.,5.10-16 ,5.10-16 ,Expanding brake (drum brake),,Expanding brake (drum brake),Wire spoked. Whitewall tyres.,,,,1500 mm (59.1 inches),16.00 litres (4.23 US gallons),Electric & kick,Hard saddlebags.,,Shovelhead V-twin,94.9 Nm (9.7 kgf-m or 70.0 ft.lbs) @ 4000 RPM,87.3 x 101.0 mm (3.4 x 4.0 inches),2,355.2 kg (783.0 pounds),0.1689 HP/kg,12 Volt battery.,Windscreen. ,,,,,,,,,,,,,,
Suzuki TC250,1967,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",250.0 ccm (15.26 cubic inches),"Twin, two-stroke",29.0 HP (21.2  kW)) @ 7500 RPM,145.0 km/h (90.1 mph),,Carburettor,,,,Air,6-speed,,,,,Doble cradle,Telescopic,Two schock,,,Expanding brake (drum brake),,Expanding brake (drum brake),,1030 mm (40.6 inches),1950 mm (76.8 inches),,1280 mm (50.4 inches),14.00 litres (3.70 US gallons),,,Dual ,,,,,131.0 kg (288.8 pounds),0.2214 HP/kg,,,,,,,,,,,,,,,,
BSA D10 Sport,1967,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",,92.0 km/h (57.2 mph),,Carburettor,,,,,,,,,,,,Swinging arm,,,,,,Spoked,,,,,,,,Dual ,,,,,,,,,Red-Chrome,,,,,,,,,,,,,
AJS Model 16 350MS,1967,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,347.0 ccm (21.17 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 5750 RPM,,6.5:1,Carburettor,Overhead Valves (OHV),Magneto,Wet sump ,Air,,Chain   (final drive),Wet multiplate,,,Single cradle-steel,Catrigde,Two shock,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,2190 mm (86.2 inches),710 mm (28.0 inches),1422 mm (56.0 inches),,,,,,,69.0 x 93.0 mm (2.7 x 3.7 inches),,170.0 kg (374.8 pounds),0.1059 HP/kg,,,,,,,,,,,,,,,,
Moto Guzzi Stornello ,1967,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",7.0 HP (5.1  kW)) @ 7200 RPM,,,Carburettor. DellÓrto,,,,,,Chain   (final drive),Wet multiplate,,,,Telescopic,,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ariel 4G MK II,1967,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1000.0 ccm (61.02 cubic inches),Square four cylinder,,,,Carburettor. SU,Overhead Valves (OHV),,,,,,,,,,Telescopic,Plungertype with cil-springs,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,,,,,,,206.8 kg (456.0 pounds),,,,,Four-pipe,,,,,,,,,,,,
Honda CB250 Super Sport,1967,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",247.8 ccm (15.12 cubic inches),"Twin, four-stroke",22.0 HP (16.1  kW)) @ 8200 RPM,130.0 km/h (80.8 mph),9.5:1,Carburettor,Overhead Cams (OHC),,,,,,,,,,Telescopic,Swingarm,2.75-18 ,2.75-18 ,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,950 mm (37.4 inches),2025 mm (79.7 inches),615 mm (24.2 inches),1295 mm (51.0 inches),14.00 litres (3.70 US gallons),,,Dual ,,,,,153.0 kg (337.3 pounds),0.1438 HP/kg,,,,,,,,,,,,,,,,
Moto Guzzi V7 Sport 750 Special,1967,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"V2, four-stroke",45.0 HP (32.8  kW)) @ 6000 RPM,170.0 km/h (105.6 mph),,Carburettor. DellÓrto,,,,,4-speed,Shaft drive (cardan)   (final drive),,,,,Telescopic,Swingarm- hydralich,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,20.00 litres (5.28 US gallons),,,Dual ,,,,,230.0 kg (507.1 pounds),0.1957 HP/kg,,,,,,,,,,,,,,,,
Aermacchi 250 Ala Verde Serie 1,1967,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,246.2 ccm (15.02 cubic inches),"Single cylinder, four-stroke",16.0 HP (11.7  kW)) @ 6500 RPM,140.0 km/h (87.0 mph),8.5:1,Carburettor,,,,Air,,Chain   (final drive),,,,Single cradle,Telescopic ,Swingarm-two shocks,2.50-17 ,2.50-17 ,Expanding brake (drum brake). Simplex,,Expanding brake (drum brake). Simplex,Spoked,,,,1270 mm (50.0 inches),,Kick,,Dual ,,,66.0 x 72.0 mm (2.6 x 2.8 inches),,114.0 kg (251.3 pounds),0.1404 HP/kg,,,,,,,,,,,,,,,,
Harley-Davidson KR 750,1967,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,744.0 ccm (45.40 cubic inches),"V2, four-stroke",46.0 HP (33.6  kW)) @ 6500 RPM,177.0 km/h (110.0 mph),,Carburettor. Single Tilloston,Sidevalves,,,Air,4-speed,,,,,,Telescopic,Rigid,,,,,,,,,,,,,,Single spring-mounted,,,,,163.3 kg (360.0 pounds),0.2817 HP/kg,,,,,,,,,,,,,,,,
Kreidler Florett RS,1967,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",5.3 HP (3.9  kW)) @ 7250 RPM,80.0 km/h (49.7 mph),,Carburettor. Bing,,,,Air,,Chain   (final drive),,,,Steel single cradle,Telescopic,Swingarm with coil-over shocks,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,,Single seat,,,,,59.0 kg (130.0 pounds),0.0899 HP/kg,,,,,,,,,,,,,,,,
MV Agusta 600 Turismo Four,1967,Sport touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,592.0 ccm (36.12 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8200 RPM,185.0 km/h (115.0 mph),9.3:1,Carburettor. Dell´Orto,Double Overhead Cams/Twin Cam (DOHC),Coil,,Air,5-speed,Shaft drive (cardan)   (final drive),,,,Half Duplex,Telehydraulic,Swingarm with Hydraulic Dampers,3.50-18 ,4.00-18 ,Double disc,200 mm (7.9 inches),Expanding brake (drum brake),,,,,1390 mm (54.7 inches),20.00 litres (5.28 US gallons),,,,,,58.0 x 56.0 mm (2.3 x 2.2 inches),2,,,,,Black,,221.0 kg (487.2 pounds),"802 mm (31.6 inches) If adjustable, lowest setting.",,,,,,,,,,
Bultaco Lobito,1967,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",22.0 HP (16.1  kW)) @ 8000 RPM,,,Carburettor,,,,Air,,Chain   (final drive),,,,Single cradle,,,,,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,,,,,Kick,,Single Seat,,,60.0 x 60.0 mm (2.4 x 2.4 inches),,,,,,,,,,,,,,,,,,,
BMW R69US,1967,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,594.0 ccm (36.25 cubic inches),"Two cylinder boxer, four-stroke",42.0 HP (30.7  kW)) @ 7000 RPM,175.0 km/h (108.7 mph),9.5:1,Carburettor. Bing,Overhead Valves (OHV),Magneto,Forced feed,Air,4-speed,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,5.30 litres/100 km (18.9 km/l or 44.38 mpg),123.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Steel-doble cradle,Cartridge,Twin shock-swingarm,3.50-18 ,3.50-18 ,Expanding brake (drum brake). Duplex full hub,200 mm (7.9 inches),Expanding brake (drum brake). Simplex full hub,,995 mm (39.2 inches),2137 mm (84.1 inches),722 mm (28.4 inches),1427 mm (56.2 inches),17.00 litres (4.49 US gallons),Kick,360,Dual seat,,,72.0 x 73.0 mm (2.8 x 2.9 inches),,,,,Weight 600 kg with sidecar,,,199.0 kg (438.7 pounds),,,,,,,,,,,
Allstate SR 250,1967,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,250.0 ccm (15.26 cubic inches),"Twin, two-stroke",,,,Carburettor,,,,Air,,,,,,,Telescopic,,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,,Dual ,,,45.0 x 78.0 mm (1.8 x 3.1 inches),,140.2 kg (309.0 pounds),,,,,,,,,,,,,,,,,
Kawasaki W1 SS,1967,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,624.0 ccm (38.08 cubic inches),"Twin, four-stroke",49.0 HP (35.8  kW)) @ 6500 RPM,180.0 km/h (111.8 mph),8.7:1,Carburettor. Two,Pushrods,Battery,,Air,4-speed,Chain   (final drive),,,,,Telescopic,Swingarm ,3.25-19 ,3.50-18 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,1415 mm (55.7 inches),15.00 litres (3.96 US gallons),,,Dual ,,,74.0 x 72.6 mm (2.9 x 2.9 inches),,,,,,,,,,,,,,,,,,,
