Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Fuel consumption,Greenhouse gases,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Wheels,"Weight incl. oil, gas, etc",Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Starter,Carrying capacity,Compression,Seat,Dry weight,Power/weight ratio,Engine details,Seat height,Torque,Electrical,Max RPM,Alternate seat height,Rake (fork angle),Ground clearance,Color options,Comments,0-100 km/h (0-62 mph),Exhaust system,Front wheel travel,Rear wheel travel,Engine oil,Oil capacity,Valves per cylinder,Instruments,Light
BMW R60US,1969,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,594.0 ccm (36.25 cubic inches),"Two cylinder boxer, four-stroke",30.1 HP (21.9  kW)) @ 5800 RPM,145.0 km/h (90.1 mph),72.0 x 73.0 mm (2.8 x 2.9 inches),Carburettor. 24mm Bing,Overhead Valves (OHV),Magneto,Wet sump ,Air,4-speed,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,5.00 litres/100 km (20.0 km/l or 47.04 mpg),116.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Steel-double cradle,Cartridge,Twin shock-Swingarm,3.50-18.00 ,3.50-18.00 ,Expanding brake (drum brake). Single,200 mm (7.9 inches),Expanding brake (drum brake),Spoked,195.0 kg (429.9 pounds),980 mm (38.6 inches),2137 mm (84.1 inches),860 mm (33.9 inches),1427 mm (56.2 inches),17.00 litres (4.49 US gallons),Kick,360kg,,,,,,,,,,,,,,,,,,,,,,,
Lambretta LI 125 Special,1969,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",7.1 HP (5.2  kW)) @ 5550 RPM,80.5 km/h (50.0 mph),52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor. DellÓrto,,,,Air,,,,,,,,,3.50-10 ,3.50-10 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,1060 mm (41.7 inches),1825 mm (71.9 inches),710 mm (28.0 inches),1290 mm (50.8 inches),,Kick,,8.0:1,Dual ,103.9 kg (229.0 pounds),0.0684 HP/kg,,,,,,,,,,,,,,,,,,,
Zündapp 517 KS 50,1969,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",49.9 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,,39.0 x 41.8 mm (1.5 x 1.6 inches),Carburettor. Bing,,,,Air,,Chain   (final drive),,,,,Telescopic,Two schock,,,Single disc,,Expanding brake (drum brake),,,,,,,13.50 litres (3.57 US gallons),,,,,86.0 kg (189.6 pounds),,,,,,,,,,,,,,,,,,,,
Moto Guzzi V7 700,1969,Naked bike," 2.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",700.0 ccm (42.71 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6000 RPM,164.0 km/h (101.9 mph),80.0 x 70.0 mm (3.1 x 2.8 inches),Carburettor. DellÓrto,,,,Air,,,Dry multiplate,,,,Telescopic,,4-18 ,4-18 ,Expanding brake (drum brake). Duplex,200 mm (7.9 inches),Expanding brake (drum brake). Simplex,,,,,,,20.00 litres (5.28 US gallons),,,9.0:1,Dual ,,,,,,,,,,,,,,,,,,,,,
Suzuki XR05 TR500,1969,Cross / motocross," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",493.0 ccm (30.08 cubic inches),"Twin, two-stroke",,237.0 km/h (147.3 mph),,Carburettor,,,,Air,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,Single ,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Drag Bike,1969,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1474.0 ccm (89.94 cubic inches),"V2, four-stroke",,,,Carburettor,Overhead Valves (OHV),Magneto,,,,Chain   (final drive),,,,,,,,,Expanding brake (drum brake),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSA B25  Starfire,1969,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",25.5 HP (18.6  kW)) @ 7250 RPM,,67.0 x 70.0 mm (2.6 x 2.8 inches),,Overhead Valves (OHV),,,Air,,Chain   (final drive),,,,Single Cradle,Telescopic,Swingarm ,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Velocette,1969,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",,172.0 km/h (106.9 mph),,Carburettor,,,,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,Dual ,,,,,,,,,,,,,,,,,,,,,
Triumph Tiger Cub T 20,1969,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,199.0 ccm (12.14 cubic inches),"Single cylinder, four-stroke",10.0 HP (7.3  kW)) @ 6000 RPM,106.0 km/h (65.9 mph),63.0 x 64.0 mm (2.5 x 2.5 inches),Carburettor,Overhead Valves (OHV),,Dry sumpy,Air,,Chain   (final drive),Wet multiplate,,,,,Swingarm with coil-over shocks,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,1245 mm (49.0 inches),,,,7.1:1,,113.4 kg (250.0 pounds),0.0882 HP/kg,Amal monobloc carburettor,,,,,,,,,,,,,,,,,,
DKW RT 159,1969,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.6 ccm (3.03 cubic inches),"Single cylinder, two-stroke",5.3 HP (3.9  kW)) @ 7000 RPM,80.0 km/h (49.7 mph),38.0 x 44.0 mm (1.5 x 1.7 inches),Carburettor. Bing ,,,,Air,,Chain   (final drive),,,,,Telescopic fork,Swingarm ,,,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,,,,,13.00 litres (3.43 US gallons),Kick,,,Dual ,85.0 kg (187.4 pounds),0.0624 HP/kg,,"760 mm (29.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,
Triumph Tina,1969,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,100.0 ccm (6.10 cubic inches),"Single cylinder, two-stroke",,72.0 km/h (44.7 mph),,Carburettor,Overhead Cams (OHC),,,,,Belt   (final drive),,,,,,,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,,,7.0:1,,65.0 kg (143.3 pounds),,,,,,,,,,,,,,,,,,,,
MZ ES 250,1969,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, two-stroke",17.5 HP (12.8  kW)) @ 5300 RPM,,65.0 x 70.0 mm (2.6 x 2.8 inches),Carburettor,,,,Air,,Chain   (final drive),Wet multiplate,,,,Telescopic,,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,15.00 litres (3.96 US gallons),,,8.1:1,,162.0 kg (357.1 pounds),0.1080 HP/kg,,,,,,,,,,,,,,,,,,,
Kreidler Florett RS,1969,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",5.3 HP (3.9  kW)) @ 7250 RPM,,,Carburettor. Bing,,,,Air,,Chain   (final drive),,,,Steel single cradle,Telescopic,Swingarm with coil-over shocks,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,,,,Single seat,59.0 kg (130.0 pounds),0.0899 HP/kg,,,,,,,,,,,,,,,,,,,
Moto Guzzi Nuovo Falcone,1969,Allround," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",500.0 ccm (30.51 cubic inches),"Single cylinder, four-stroke",26.2 HP (19.1  kW)) @ 4800 RPM,,88.0 x 82.0 mm (3.5 x 3.2 inches),Carburettor. DellÓrto,,,,Air,,Chain   (final drive),Wet multiplate,,,Doble cradle,Telescopic,,,,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,,,,,,,,6.8:1,Dual seat,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLCH Sportster,1969,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",,,,Carburettor,Overhead Valves (OHV),,,,,Chain   (final drive),,,,,Telescopic,Swingarm with coil-over shocks,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puch 250 SGS 67,1969,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,248.0 ccm (15.13 cubic inches),"Single cylinder, two-stroke",16.5 HP (12.0  kW)) @ 5800 RPM,110.0 km/h (68.4 mph),78.0 x 45.0 mm (3.1 x 1.8 inches),Carburettor,,,,,,Chain   (final drive),,,,,Telescopic,Swingarm,3-16 ,3.50-16 ,,,,,,,,,,,,,6.5:1,,,,,,16.8 Nm (1.7 kgf-m or 12.4 ft.lbs) @ 3300 RPM,,,,,,,,,,,,,,,,
